date,nMeas,nPixs,satTime,staName,staLon,staLat,aerMean550,aerSTD550,satMean550,satSTD550,aod550,qf,lndSea
20210230,59,20,10.4,ASI_Malindi,40.1945,-2.996,0.186048,0.0208003,0.01365,0.0592978,"-0.05;-0.036;-0.05;-0.05;-0.05;-0.04;-0.018;-0.05;0;0.03;0.034;0.056;0.078;0.028;0.075;0.088;-0.05;0.047;0.088;0.143","3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
20210230,51,17,10.4,San_Marco_Platform,40.2147,-2.94167,-999,-nan,0.0446471,0.0645372,"-0.05;-0.04;-0.05;0;0.03;0.034;0.056;0.078;0.028;0.075;0.088;-0.05;0.047;0.088;0.143;0.141;0.141","3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
20210230,17,28,10.5,Cairo_EMA_2,31.2901,30.0808,0.239048,0.0239979,0.35075,0.117951,"0.352;0.286;0.57;0.387;0.361;0.567;0.542;0.481;0.351;0.593;0.546;0.444;0.353;0.304;0.355;0.243;0.26;0.269;0.228;0.281;0.205;0.243;0.275;0.259;0.245;0.332;0.233;0.256","3;3;2;3;2;2;2;2;2;2;1;2;3;2;1;2;3;1;2;3;3;2;1;1;2;2;2;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
20210230,50,4,12,HESS,16.5029,-23.273,0.0422078,0.00678708,0.1125,0.0267629,"0.151;0.124;0.088;0.087","1;1;1;2","1;1;1;1"
20210230,25,15,12,Misamfu,31.2241,-10.1712,0.161485,0.00587921,0.252667,0.0229224,"0.248;0.236;0.218;0.235;0.252;0.26;0.279;0.259;0.24;0.222;0.238;0.248;0.262;0.294;0.299","3;3;2;3;3;2;1;3;3;3;3;3;2;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
20210230,25,14,12,Mongu_Inn,23.1343,-15.2667,0.0521667,0.012814,0.429571,0.057171,"0.462;0.393;0.437;0.365;0.357;0.369;0.407;0.393;0.395;0.55;0.443;0.536;0.451;0.456","2;3;3;2;3;1;3;2;1;2;3;3;3;3","1;1;1;1;1;1;1;1;1;1;1;1;1;1"
20210230,58,4,12,Namibe,12.178,-15.159,0.14224,0.0248588,0.25675,0.0223762,"0.24;0.29;0.233;0.264","3;3;3;3","0;0;0;0"
20210230,14,5,12.1,CATUC_Bamenda,10.1563,5.9491,1.11919,0.419427,1.1094,0.223112,"0.81;1.116;1.098;1.024;1.499","1;1;1;1;2","1;1;1;1;1"
20210230,24,20,12.1,Ilorin,4.34,8.32,1.23521,0.0786944,1.3449,0.0804013,"1.395;1.418;1.383;1.445;1.387;1.308;1.41;1.335;1.311;1.219;1.363;1.21;1.209;1.371;1.234;1.365;1.296;1.504;1.424;1.311","3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
